,Bawang Merah,Beras,Cabai Merah,Daging Ayam,Minyak Goreng,Telur Ayam
2020-01-01,37200.0,11800.0,39400.0,35050.0,13500.0,26300.0
2020-01-02,37200.0,11800.0,39400.0,35050.0,13500.0,26300.0
2020-01-03,37250.0,11850.0,39800.0,35050.0,13550.0,26350.0
2020-01-04,37250.0,11850.0,39800.0,35050.0,13550.0,26350.0
2020-01-05,37250.0,11850.0,39800.0,35050.0,13550.0,26350.0
2020-01-06,37000.0,11800.0,42800.0,34200.0,13600.0,26050.0
2020-01-07,36600.0,11800.0,42950.0,34000.0,13600.0,25950.0
2020-01-08,36750.0,11800.0,43200.0,33950.0,13600.0,25900.0
2020-01-09,36800.0,11800.0,43550.0,33850.0,13650.0,25800.0
2020-01-10,37150.0,11850.0,43800.0,34050.0,13650.0,25900.0
2020-01-11,37150.0,11850.0,43800.0,34050.0,13650.0,25900.0
2020-01-12,37150.0,11850.0,43800.0,34050.0,13650.0,25900.0
2020-01-13,37250.0,11800.0,45200.0,33550.0,13700.0,25700.0
2020-01-14,37350.0,11850.0,45200.0,33400.0,13750.0,25700.0
2020-01-15,37250.0,11850.0,45850.0,33200.0,13750.0,25700.0
2020-01-16,37300.0,11850.0,46750.0,33150.0,13750.0,25650.0
2020-01-17,37350.0,11850.0,47000.0,33100.0,13750.0,25650.0
2020-01-18,37350.0,11850.0,47000.0,33100.0,13750.0,25650.0
2020-01-19,37350.0,11850.0,47000.0,33100.0,13750.0,25650.0
2020-01-20,37500.0,11850.0,47250.0,32800.0,13750.0,25550.0
2020-01-21,37500.0,11850.0,46950.0,32650.0,13800.0,25450.0
2020-01-22,37600.0,11850.0,47200.0,32600.0,13800.0,25350.0
2020-01-23,37600.0,11850.0,47750.0,32550.0,13800.0,25300.0
2020-01-24,37500.0,11850.0,47600.0,32500.0,13800.0,25250.0
2020-01-25,37500.0,11850.0,47600.0,32500.0,13800.0,25250.0
2020-01-26,37500.0,11850.0,47600.0,32500.0,13800.0,25250.0
2020-01-27,38000.0,11850.0,48900.0,32350.0,13800.0,25100.0
2020-01-28,38150.0,11850.0,49650.0,32400.0,13850.0,25000.0
2020-01-29,38400.0,11850.0,50150.0,32400.0,13850.0,25000.0
2020-01-30,38650.0,11850.0,50200.0,32400.0,13800.0,24950.0
2020-01-31,38850.0,11850.0,50300.0,32450.0,13800.0,24900.0
2020-02-01,38850.0,11850.0,50300.0,32450.0,13800.0,24900.0
2020-02-02,38850.0,11850.0,50300.0,32450.0,13800.0,24900.0
2020-02-03,39600.0,11850.0,51500.0,32400.0,13800.0,24750.0
2020-02-04,40000.0,11850.0,52200.0,32450.0,13800.0,24700.0
2020-02-05,40250.0,11850.0,52050.0,32450.0,13800.0,24700.0
2020-02-06,40700.0,11850.0,51850.0,32500.0,13800.0,24700.0
2020-02-07,41100.0,11850.0,52000.0,32650.0,13800.0,24750.0
2020-02-08,41100.0,11850.0,52000.0,32650.0,13800.0,24750.0
2020-02-09,41100.0,11850.0,52000.0,32650.0,13800.0,24750.0
2020-02-10,41300.0,11850.0,50850.0,33050.0,13800.0,24800.0
2020-02-11,41400.0,11850.0,50450.0,33200.0,13800.0,24900.0
2020-02-12,41200.0,11850.0,49850.0,33400.0,13800.0,24900.0
2020-02-13,40650.0,11850.0,49700.0,33500.0,13750.0,25050.0
2020-02-14,40450.0,11900.0,49400.0,34000.0,13800.0,25350.0
2020-02-15,40450.0,11900.0,49400.0,34000.0,13800.0,25350.0
2020-02-16,40450.0,11900.0,49400.0,34000.0,13800.0,25350.0
2020-02-17,39650.0,11900.0,47800.0,34300.0,13800.0,25450.0
2020-02-18,39550.0,11850.0,47450.0,34200.0,13750.0,25350.0
2020-02-19,39700.0,11850.0,46950.0,34000.0,13750.0,25450.0
2020-02-20,39450.0,11850.0,47700.0,34050.0,13750.0,25500.0
2020-02-21,38900.0,11850.0,48250.0,34200.0,13750.0,25450.0
2020-02-22,38900.0,11850.0,48250.0,34200.0,13750.0,25450.0
2020-02-23,38900.0,11850.0,48250.0,34200.0,13750.0,25450.0
2020-02-24,38050.0,11850.0,48250.0,34050.0,13750.0,25550.0
2020-02-25,37700.0,11850.0,47900.0,33950.0,13750.0,25500.0
2020-02-26,37450.0,11850.0,47350.0,33850.0,14050.0,25600.0
2020-02-27,37450.0,11850.0,46100.0,33600.0,13750.0,25700.0
2020-02-28,37150.0,11850.0,45000.0,33400.0,13750.0,25650.0
2020-02-29,37150.0,11850.0,45000.0,33400.0,13750.0,25650.0
2020-03-01,37150.0,11850.0,45000.0,33400.0,13750.0,25650.0
2020-03-02,36850.0,11850.0,44050.0,33100.0,14000.0,25550.0
2020-03-03,36800.0,11850.0,43500.0,33000.0,13750.0,25500.0
2020-03-04,36750.0,11850.0,43050.0,33000.0,13750.0,25550.0
2020-03-05,36800.0,11850.0,43100.0,32850.0,13700.0,25500.0
2020-03-06,36750.0,11850.0,42600.0,32800.0,13700.0,25550.0
2020-03-07,36750.0,11850.0,42600.0,32800.0,13700.0,25550.0
2020-03-08,36750.0,11850.0,42600.0,32800.0,13700.0,25550.0
2020-03-09,37250.0,11850.0,41700.0,32600.0,13750.0,25700.0
2020-03-10,37300.0,11850.0,41300.0,32550.0,13750.0,25700.0
2020-03-11,37450.0,11850.0,40700.0,32600.0,13750.0,25800.0
2020-03-12,37350.0,11850.0,40350.0,32550.0,13750.0,25800.0
2020-03-13,37400.0,11850.0,39650.0,32650.0,13750.0,25800.0
2020-03-14,37400.0,11850.0,39650.0,32650.0,13750.0,25800.0
2020-03-15,37400.0,11850.0,39650.0,32650.0,13750.0,25800.0
2020-03-16,37750.0,11850.0,37500.0,32900.0,13750.0,25800.0
2020-03-17,37800.0,11850.0,36950.0,32950.0,13750.0,25800.0
2020-03-18,37900.0,11850.0,36450.0,33000.0,13750.0,25750.0
2020-03-19,37850.0,11850.0,35900.0,33000.0,13700.0,25850.0
2020-03-20,37700.0,11900.0,35900.0,33000.0,13700.0,25850.0
2020-03-21,37700.0,11900.0,35900.0,33000.0,13700.0,25850.0
2020-03-22,37700.0,11900.0,35900.0,33000.0,13700.0,25850.0
2020-03-23,38900.0,11850.0,35200.0,32550.0,13700.0,25950.0
2020-03-24,39100.0,11850.0,34850.0,32400.0,13700.0,26050.0
2020-03-25,39050.0,11050.0,32150.0,31150.0,13750.0,26300.0
2020-03-26,39650.0,11850.0,34900.0,32000.0,13750.0,26150.0
2020-03-27,39900.0,11850.0,34700.0,32050.0,13750.0,26150.0
2020-03-28,39900.0,11850.0,34700.0,32050.0,13750.0,26150.0
2020-03-29,39900.0,11850.0,34700.0,32050.0,13750.0,26150.0
2020-03-30,40500.0,11900.0,33350.0,31400.0,13750.0,26100.0
2020-03-31,41050.0,11900.0,33150.0,31200.0,13750.0,26150.0
2020-04-01,41250.0,11900.0,32800.0,31050.0,13750.0,26100.0
2020-04-02,41250.0,11900.0,32700.0,30800.0,13800.0,26050.0
2020-04-03,41300.0,11900.0,32700.0,30650.0,13800.0,25950.0
2020-04-04,41300.0,11900.0,32700.0,30650.0,13800.0,25950.0
2020-04-05,41300.0,11900.0,32700.0,30650.0,13800.0,25950.0
2020-04-06,42000.0,11900.0,32900.0,29500.0,13800.0,25950.0
2020-04-07,42000.0,11900.0,32800.0,29450.0,13800.0,25950.0
2020-04-08,42150.0,11900.0,32700.0,29350.0,13800.0,26000.0
2020-04-09,42550.0,11900.0,32600.0,29500.0,13800.0,26050.0
2020-04-10,46300.0,11550.0,26300.0,31100.0,13800.0,28100.0
2020-04-11,46300.0,11550.0,26300.0,31100.0,13800.0,28100.0
2020-04-12,46300.0,11550.0,26300.0,31100.0,13800.0,28100.0
2020-04-13,43250.0,11900.0,32000.0,29450.0,13800.0,26050.0
2020-04-14,43100.0,11900.0,31850.0,29300.0,13800.0,26000.0
2020-04-15,43200.0,11900.0,32050.0,29200.0,13800.0,25850.0
2020-04-16,43050.0,11950.0,31000.0,29000.0,13800.0,25900.0
2020-04-17,43050.0,11950.0,30600.0,28800.0,13850.0,25950.0
2020-04-18,43050.0,11950.0,30600.0,28800.0,13850.0,25950.0
2020-04-19,43050.0,11950.0,30600.0,28800.0,13850.0,25950.0
2020-04-20,43750.0,11950.0,31200.0,28450.0,13800.0,25750.0
2020-04-21,43850.0,11950.0,31450.0,28600.0,13800.0,25750.0
2020-04-22,44200.0,11950.0,32000.0,28800.0,13800.0,25650.0
